words,links,capital_words,spam_word_count,is_spam
299,1,8,2,0
243,2,1,2,0
910,8,4,1,1
294,0,1,2,0
477,2,25,10,1
64,9,10,6,1
274,2,0,2,0
961,2,23,6,1
495,10,30,10,1
187,8,15,6,1
681,4,18,10,1
64,1,2,0,0
599,2,18,9,1
281,1,1,0,0
155,9,30,1,1
638,7,25,9,1
110,1,18,9,1
694,5,11,1,1
283,2,3,1,0
260,2,10,2,0
247,1,2,2,0
65,3,2,1,0
590,2,30,8,1
254,4,4,8,1
214,2,21,10,1
869,7,12,0,1
134,9,2,6,1
112,3,13,7,1
456,3,11,10,1
190,3,3,2,0
242,1,1,2,0
255,4,1,4,0
215,1,1,0,0
474,9,19,7,1
159,2,1,2,0
382,4,1,6,0
140,2,14,2,1
640,9,15,8,1
35,0,1,1,0
142,3,26,9,1
80,4,19,6,1
190,4,5,3,1
208,5,3,0,0
873,2,16,7,1
131,2,6,6,1
40,2,1,1,0
528,4,17,7,1
161,5,8,6,1
120,7,5,2,1
297,0,1,2,0
156,2,1,0,0
176,1,6,2,0
62,2,10,1,0
772,4,14,2,1
125,1,0,2,0
177,2,13,8,1
405,9,1,4,1
113,3,3,1,0
265,0,4,3,0
54,5,12,7,1
26,0,0,0,0
256,2,3,2,0
283,5,3,0,0
645,6,3,8,1
270,0,1,1,0
97,7,4,6,1
802,10,30,8,1
156,8,24,2,1
67,5,2,2,0
295,0,3,1,0
959,2,30,3,1
797,8,20,6,1
735,7,30,1,1
75,3,0,1,0
325,2,3,0,0
253,2,6,2,0
358,1,17,1,1
333,2,0,2,0
410,5,0,10,1
167,2,13,1,1
452,5,24,3,1
375,1,6,1,0
218,2,2,1,0
211,10,8,5,1
273,2,26,6,1
225,4,10,2,0
53,2,16,6,1
59,0,20,7,1
714,4,20,9,1
871,3,10,8,1
221,1,2,2,0
138,0,0,2,0
172,3,2,2,0
298,2,2,3,0
533,4,5,5,1
694,3,23,5,1
779,0,6,2,1
178,3,1,0,0
225,0,3,6,0
107,0,1,2,0
45,1,1,1,0
47,0,0,1,0
656,6,27,3,1
61,8,7,4,1
334,5,5,9,1
231,0,1,2,0
161,9,17,9,1
163,1,0,1,0
228,1,3,2,0
786,8,9,0,1
246,2,2,0,0
327,2,0,10,1
294,2,3,3,0
487,5,6,3,1
244,9,4,10,1
281,1,2,1,0
244,3,1,2,0
125,1,0,0,0
738,4,28,7,1
969,4,26,6,1
122,1,1,1,0
137,2,0,6,1
32,0,2,1,0
909,1,25,4,1
823,4,7,10,1
294,7,27,3,1
51,0,2,2,0
394,3,4,3,1
731,10,0,8,1
121,1,3,6,0
245,1,5,5,1
272,1,3,0,0
952,8,27,5,1
179,5,7,8,1
293,2,1,1,0
119,3,5,4,1
893,9,6,10,1
159,2,9,2,0
129,2,21,7,1
314,7,24,2,1
965,10,10,8,1
198,1,3,0,0
209,0,2,1,0
73,3,1,0,0
161,5,27,6,1
325,9,11,5,1
78,6,17,6,1
289,9,4,10,1
90,3,7,5,1
576,6,2,5,1
114,8,0,3,1
264,2,1,0,0
78,8,17,10,1
127,0,0,2,0
744,6,2,3,1
959,9,28,10,1
245,0,1,2,0
52,2,0,1,0
84,4,2,2,0
412,9,22,10,1
807,7,22,4,1
138,6,13,5,1
917,2,17,3,1
65,1,5,2,0
712,7,23,10,1
694,2,16,7,1
217,5,0,1,0
465,4,12,4,1
784,4,19,9,1
232,1,2,2,0
596,2,6,2,1
199,7,5,4,1
368,2,16,2,1
928,9,5,4,1
892,7,24,8,1
185,2,21,6,1
513,5,21,8,1
138,2,11,3,1
335,0,10,9,1
933,2,7,3,1
596,7,5,8,1
45,1,2,1,0
244,2,2,4,0
809,2,28,6,1
565,7,15,5,1
249,0,3,2,0
941,9,8,0,1
513,4,4,1,1
874,8,5,8,1
174,0,3,6,0
142,9,8,8,1
565,10,14,10,1
874,1,1,5,1
259,1,3,0,0
90,2,8,1,0
95,8,13,3,1
409,10,25,4,1
232,0,0,1,0
260,1,0,2,0
889,3,20,7,1
42,1,1,2,0
32,0,4,2,0
190,2,27,9,1
784,9,6,3,1
186,2,1,1,0
275,1,5,0,0
33,1,2,2,0
96,2,3,2,0
238,3,11,9,1
250,9,4,2,1
643,5,27,6,1
284,1,3,0,0
234,1,0,5,0
166,0,0,2,0
202,2,0,0,0
220,9,24,2,1
113,10,9,6,1
770,9,0,7,1
449,5,26,4,1
115,1,5,0,0
236,2,1,2,0
294,2,3,0,0
64,9,24,2,1
54,2,1,1,0
231,4,3,2,0
251,3,27,6,1
511,3,26,5,1
117,2,0,2,0
277,8,15,3,1
200,5,3,2,0
326,8,11,4,1
629,9,21,1,1
994,9,20,1,1
433,1,2,2,0
36,3,0,2,0
26,4,1,1,0
278,2,0,0,0
751,6,1,9,1
781,8,22,2,1
205,0,0,1,0
210,2,6,3,1
428,9,5,2,1
331,3,8,10,1
160,2,2,2,0
269,2,1,0,0
95,2,3,0,0
177,4,22,2,1
164,3,0,2,0
278,10,11,6,1
38,1,2,1,0
80,1,3,2,0
270,2,2,4,0
202,2,2,0,0
88,4,2,2,0
653,6,21,2,1
376,2,26,7,1
414,1,1,0,0
596,1,5,0,1
426,0,2,1,0
103,4,3,7,1
375,5,24,1,1
953,8,9,4,1
644,8,15,4,1
294,4,15,9,1
457,2,1,2,0
333,3,5,4,1
97,0,3,0,0
238,0,2,2,0
871,8,6,6,1
881,5,26,4,1
849,2,8,1,1
174,5,6,2,0
134,2,3,2,0
793,4,1,2,1
277,1,1,0,0
273,2,0,0,0
761,2,2,6,1
184,3,2,2,0
151,9,23,6,1
157,2,13,5,1
33,1,2,2,0
192,1,0,2,0
167,5,3,1,0
270,1,3,4,0
279,0,1,0,0
214,1,2,1,0
639,3,17,3,1
371,4,7,6,1
265,3,3,2,0
134,4,29,7,1
409,2,15,3,1
126,1,2,1,0
843,5,8,5,1
106,3,3,1,0
193,7,18,1,1
297,0,2,2,0
465,2,3,2,0
944,3,23,7,1
161,5,5,0,0
740,8,14,6,1
234,4,29,5,1
256,0,1,1,0
29,1,2,1,0
174,1,2,3,0
722,10,17,1,1
62,0,1,1,0
151,2,9,9,1
484,9,7,10,1
199,2,0,4,1
875,3,30,8,1
158,3,10,5,1
982,6,8,8,1
127,0,4,0,0
545,7,19,3,1
438,1,1,1,0
749,4,1,10,1
422,2,1,0,0
83,10,5,4,1
791,3,22,7,1
871,8,5,4,1
163,5,0,1,0
400,10,27,10,1
360,2,1,5,0
366,3,0,5,1
165,2,3,5,0
149,1,3,2,0
182,4,7,8,1
23,1,2,0,0
74,0,2,0,0
121,0,17,4,1
636,7,21,7,1
270,2,3,0,0
409,5,16,2,1
350,6,1,7,1
106,2,0,6,0
56,0,3,1,0
343,0,2,1,0
800,3,15,3,1
70,9,17,1,1
157,2,16,10,1
222,2,0,0,0
748,3,22,10,1
137,7,18,7,1
301,1,21,3,1
417,5,13,8,1
291,0,3,0,0
680,4,8,0,1
598,9,20,6,1
277,2,0,5,0
219,0,0,0,0
938,9,6,3,1
691,3,26,3,1
631,6,22,0,1
359,0,0,0,1
425,0,2,1,0
218,3,12,10,1
176,5,4,4,1
454,4,15,2,1
451,2,19,3,1
133,2,1,0,0
234,1,0,2,0
274,4,23,4,1
194,3,19,3,1
192,2,30,7,1
35,1,0,2,0
768,7,19,3,1
122,9,5,9,1
94,1,3,0,0
279,0,3,1,0
210,0,0,4,0
865,2,27,7,1
81,2,2,2,0
189,2,2,2,0
255,2,1,2,0
184,2,4,1,0
145,0,16,3,1
973,5,21,8,1
341,3,11,8,1
937,4,8,4,1
69,1,1,2,0
237,2,2,1,0
454,0,0,0,0
184,8,2,6,1
213,1,3,0,0
181,0,2,2,0
160,2,2,0,0
119,5,1,6,0
52,2,2,2,0
79,1,0,2,0
314,0,2,0,0
988,6,0,3,1
107,0,2,0,0
149,1,0,1,0
159,4,3,0,0
296,2,28,9,1
97,2,6,8,1
131,10,16,7,1
211,1,2,2,0
295,4,3,0,0
144,0,2,2,0
602,10,16,6,1
632,4,24,4,1
863,10,0,7,1
66,1,10,2,0
521,1,5,9,1
263,1,0,2,0
239,2,7,2,0
75,0,2,10,1
885,3,14,5,1
162,9,4,10,1
40,4,3,0,0
210,3,5,9,1
990,3,24,7,1
139,1,0,1,0
274,4,0,2,0
118,3,23,1,1
723,7,13,10,1
134,0,2,5,0
193,2,3,1,0
271,4,4,2,0
142,1,21,0,1
142,2,1,0,0
220,2,0,1,0
536,0,13,6,1
154,4,28,7,1
584,9,12,1,1
820,10,5,9,1
779,3,23,8,1
858,8,8,4,1
367,3,2,2,0
581,4,0,1,1
234,2,2,1,0
346,0,2,9,1
217,0,1,1,0
479,2,2,5,0
930,0,5,7,1
402,3,4,10,1
290,3,2,2,0
129,1,8,2,0
241,1,10,1,0
446,0,2,0,0
170,5,1,0,0
431,9,21,2,1
121,1,2,3,0
258,1,3,1,0
918,6,1,5,1
938,5,30,7,1
573,2,27,5,1
58,1,0,1,0
593,5,3,10,1
166,2,1,2,0
935,5,28,5,1
161,4,4,1,1
670,2,13,10,1
884,4,5,8,1
948,8,2,8,1
210,10,21,4,1
271,1,0,2,0
270,2,2,2,0
176,1,2,1,0
50,10,0,4,1
56,0,3,2,0
176,0,3,0,0
109,3,2,0,1
180,3,30,5,1
182,1,0,1,0
62,2,2,0,0
306,1,6,0,0
984,6,20,4,1
343,4,13,7,1
258,0,3,2,0
164,2,0,0,0
991,5,26,3,1
106,10,11,10,1
207,0,3,1,0
602,8,28,6,1
770,0,15,7,1
273,1,1,2,0
281,0,30,4,1
314,5,15,7,1
141,6,1,0,1
184,1,0,8,1
256,1,1,2,0
739,2,23,10,1
59,1,3,2,0
59,1,0,1,0
739,3,5,1,1
226,2,0,1,0
405,5,4,9,1
742,6,23,6,1
120,3,20,4,1
285,1,2,1,0
178,1,2,2,0
232,6,29,9,1
898,9,8,4,1
32,1,3,1,0
223,1,6,3,0
197,5,0,5,0
288,3,1,1,0
109,1,5,2,0
529,3,0,8,1
710,9,14,0,1
51,3,3,0,0
202,1,3,0,0
690,2,11,8,1
810,4,15,5,1
431,6,15,9,1
146,0,2,1,0
171,4,3,0,0
567,5,16,3,1
147,0,2,0,0
983,3,14,5,1
106,1,3,0,0
44,0,0,6,0
880,1,17,7,1
208,0,3,3,0
599,4,15,10,1
239,1,3,6,0
92,0,3,0,0
40,1,10,3,0
176,1,0,0,0
180,2,0,1,0
161,0,1,2,0
185,3,3,3,0
81,1,1,2,0
262,1,2,5,0
156,2,2,5,0
216,0,6,6,0
93,1,5,2,0
210,4,0,1,0
137,10,2,2,1
397,2,11,1,1
55,2,10,5,0
240,0,2,0,0
32,2,1,4,0
349,8,7,2,1
283,2,3,5,0
367,2,2,1,0
188,1,3,0,0
215,1,1,0,0
165,1,1,2,0
197,2,3,1,0
21,0,2,4,0
429,2,1,2,0
249,5,2,2,0
429,1,3,4,0
169,2,3,3,0
278,0,1,4,0
88,3,2,2,0
67,2,0,0,0
67,4,7,2,0
633,8,5,10,1
172,0,0,6,0
848,2,1,4,1
251,8,10,9,1
43,2,1,1,0
161,3,26,8,1
214,4,19,9,1
171,1,0,1,0
168,4,6,0,1
181,2,3,1,0
594,6,19,3,1
279,6,10,7,1
153,3,30,3,1
212,4,1,10,1
244,2,0,0,0
821,8,7,7,1
296,1,0,1,0
88,2,27,7,1
55,7,22,10,1
257,2,0,1,0
293,2,6,0,0
331,2,1,1,0
99,1,0,2,0
923,2,26,10,1
119,5,23,1,1
501,2,9,8,1
237,1,3,2,0
122,1,3,1,0
220,1,0,0,0
118,1,3,0,0
78,6,21,3,1
40,3,9,0,0
247,2,4,1,0
174,1,0,4,1
290,0,3,6,0
208,2,0,0,0
357,9,16,1,1
657,1,17,3,1
220,1,2,2,0
268,0,2,2,0
284,2,6,1,0
411,1,3,2,0
545,4,4,8,1
121,3,3,5,1
55,3,26,7,1
575,5,29,3,1
50,9,7,5,1
748,3,22,3,1
448,2,11,0,1
211,1,9,0,0
316,3,3,5,1
451,1,2,1,0
474,2,3,0,0
115,1,3,1,0
776,10,9,3,1
281,2,1,1,0
92,0,4,5,1
30,1,2,2,0
475,0,0,2,0
548,5,2,10,1
862,3,5,5,1
374,4,10,9,1
257,4,3,1,0
245,5,2,0,0
29,4,2,0,0
117,1,3,2,0
275,0,0,3,0
111,1,20,6,1
269,5,2,1,0
81,10,22,8,1
726,2,22,4,1
126,0,13,10,1
177,1,1,2,0
246,1,7,0,0
956,9,10,10,1
813,9,11,0,1
226,3,19,4,1
34,1,2,0,0
897,9,23,10,1
291,2,2,4,0
211,5,3,1,0
220,1,3,0,0
197,7,0,10,1
177,2,1,0,0
299,8,0,10,1
498,8,17,10,1
328,10,1,4,1
487,0,2,1,0
78,2,0,1,0
470,3,5,5,1
591,9,7,4,1
199,4,24,8,1
162,4,2,5,0
452,6,12,6,1
158,2,1,2,0
299,1,2,0,0
300,1,3,0,0
178,2,0,2,0
295,2,1,1,0
75,0,0,2,0
80,10,25,7,1
167,3,29,3,1
268,5,5,6,1
718,7,26,3,1
128,1,24,1,1
495,1,1,3,0
363,1,1,2,0
178,0,9,3,0
190,1,1,1,0
839,6,0,8,1
65,2,2,2,0
208,1,5,2,0
137,4,3,0,0
300,9,4,6,1
211,4,1,0,0
301,10,3,6,1
923,4,22,6,1
162,4,25,6,1
40,2,3,2,0
279,2,3,5,1
951,6,21,10,1
732,0,5,7,1
223,2,1,2,0
130,1,1,0,0
346,1,4,5,0
758,7,28,0,1
93,9,22,1,1
470,3,22,10,1
249,9,4,6,1
98,8,16,2,1
184,9,6,3,1
116,1,3,0,0
962,10,24,3,1
879,8,19,6,1
45,2,0,1,0
242,2,3,5,0
958,2,2,4,1
173,2,1,1,0
396,8,24,2,1
61,1,2,1,0
78,2,3,2,0
955,8,16,10,1
478,0,9,9,1
256,3,23,4,1
293,2,0,1,0
296,0,1,1,0
272,1,1,2,0
860,5,16,6,1
148,0,1,6,0
693,9,26,2,1
141,0,1,1,0
156,1,1,1,0
638,9,1,6,1
91,3,0,5,0
212,0,3,3,0
475,5,8,3,1
101,8,29,7,1
118,9,13,10,1
440,10,5,7,1
154,9,25,10,1
363,8,9,9,1
663,8,21,6,1
172,2,1,1,0
234,2,5,1,0
80,2,0,2,0
759,5,2,5,1
231,3,9,9,1
289,3,3,3,0
120,2,21,3,1
386,0,0,1,0
51,2,24,3,1
118,1,3,0,0
882,7,21,3,1
665,3,4,10,1
790,3,24,0,1
392,0,19,1,1
170,0,3,1,0
502,6,4,5,1
111,0,1,6,0
673,1,19,3,1
232,2,4,2,0
123,9,2,6,1
442,1,3,1,0
932,6,7,5,1
795,5,14,1,1
602,2,7,5,1
195,9,0,8,1
720,7,8,10,1
202,1,1,2,0
171,3,15,6,1
183,0,2,0,0
688,8,6,1,1
258,0,2,2,0
205,5,16,7,1
414,3,14,3,1
187,2,0,2,0
60,3,1,9,1
102,4,27,10,1
461,1,2,0,0
109,1,1,0,0
820,3,20,6,1
223,2,0,0,0
757,9,30,3,1
267,5,2,1,0
259,0,0,1,0
71,2,8,2,0
47,2,0,2,0
289,0,0,2,0
616,3,8,7,1
301,10,30,3,1
245,1,3,1,0
297,5,6,2,1
453,1,7,0,1
80,3,1,6,0
106,5,3,1,0
80,3,13,6,1
149,3,5,10,1
308,0,2,2,0
840,1,16,5,1
496,4,4,0,1
57,1,10,2,0
718,2,4,8,1
237,1,9,2,0
623,4,25,3,1
23,0,1,5,0
456,5,13,2,1
264,1,2,2,0
452,4,20,5,1
761,3,8,4,1
173,10,22,8,1
191,2,0,2,0
94,1,2,2,0
207,7,25,8,1
197,0,1,6,0
240,1,1,1,0
327,9,11,9,1
387,0,2,0,0
706,1,6,4,1
997,4,30,3,1
449,1,3,1,0
175,1,13,6,1
616,7,5,4,1
43,0,0,0,0
747,8,18,5,1
144,8,27,10,1
168,3,27,5,1
609,6,5,2,1
78,5,3,2,0
87,0,3,1,0
158,3,0,1,0
291,1,2,4,0
76,0,2,2,0
440,4,4,2,0
129,9,5,3,1
446,8,3,10,1
867,8,26,10,1
22,1,3,4,0
107,10,11,1,1
399,5,23,5,1
393,10,5,4,1
147,2,21,5,1
42,1,2,2,0
195,3,17,6,1
647,5,17,10,1
97,2,1,1,0
193,10,7,4,1
754,6,17,9,1
240,1,1,1,0
288,2,2,2,0
429,2,2,1,0
205,1,8,0,0
687,3,13,1,1
199,2,2,1,0
54,1,3,3,0
46,1,5,1,0
191,1,0,2,0
505,5,7,10,1
62,2,3,0,0
98,5,14,5,1
184,10,24,9,1
153,1,8,2,0
163,0,0,2,0
174,2,1,1,0
420,2,20,5,1
393,5,8,10,1
554,0,28,10,1
445,2,3,2,0
270,2,1,1,0
516,9,2,4,1
997,2,17,4,1
248,0,12,6,1
815,2,13,7,1
888,2,10,0,1
195,7,17,5,1
163,2,0,0,0
534,7,21,6,1
87,0,1,0,0
201,0,1,0,0
261,2,0,2,0
517,6,19,4,1
130,2,0,2,0
130,8,10,3,1
764,10,23,3,1
92,1,1,1,0
878,2,4,7,1
158,9,25,9,1
934,7,11,4,1
279,2,2,5,0
319,1,3,2,0
458,7,16,8,1
91,2,2,2,0
734,5,20,5,1
816,0,20,7,1
443,0,0,1,0
104,1,3,1,0
34,2,6,2,0
240,8,0,9,1
210,0,10,0,0
154,5,0,2,0
110,6,10,8,1
285,0,1,0,0
498,10,17,7,1
171,0,3,1,0
404,1,2,6,0
223,0,0,1,0
147,4,2,4,1
80,3,1,0,0
745,2,10,8,1
297,2,0,2,0
291,1,1,2,0
657,9,29,3,1
26,3,2,5,0
195,2,0,0,0
252,2,26,6,1
151,1,0,1,0
203,0,2,6,0
317,0,1,1,0
359,0,1,6,1
118,0,1,5,1
205,1,2,0,0
391,4,22,4,1
134,2,1,2,0
275,2,3,0,0
241,2,0,2,0
469,7,2,10,1
285,1,2,1,0
255,1,0,1,0
944,10,15,6,1
33,2,1,1,0
129,1,1,2,0
560,3,22,9,1
283,0,2,2,0
83,4,2,0,0
92,3,17,5,1
72,2,1,2,0
275,0,1,0,0
192,1,3,0,0
178,2,5,3,1
125,8,28,4,1
344,8,14,4,1
95,6,8,7,1
612,7,16,0,1
199,2,8,2,0
207,6,2,5,1
158,1,3,0,0
475,1,16,4,1
699,7,7,6,1
37,2,2,2,0
103,0,0,1,0
299,0,2,0,0
33,0,1,1,0
183,3,30,0,1
359,0,2,2,0
485,1,0,2,0
299,9,2,3,1
240,0,2,1,0
48,0,1,5,0
196,0,3,4,0
829,1,6,6,1
167,0,0,1,0
286,1,1,0,0
309,3,3,10,1
214,5,29,4,1
125,0,0,0,0
190,9,18,8,1
865,5,7,3,1
194,2,1,0,0
185,0,3,0,0
137,3,5,8,1
105,1,2,0,0
464,2,3,1,0
252,0,2,4,0
60,0,0,0,0
957,1,9,2,1
321,9,11,6,1
273,2,10,2,0
638,5,22,3,1
140,0,2,1,0
139,3,21,4,1
286,0,9,1,0
708,3,7,8,1
257,0,2,0,0
300,2,1,4,0
31,0,2,5,0
954,9,8,6,1
286,3,23,3,1
35,0,1,0,0
145,2,2,0,0
21,2,1,1,0
638,5,29,8,1
226,0,25,8,1
148,2,15,3,1
54,7,14,4,1
32,2,3,2,0
157,2,0,2,0
511,3,15,10,1
229,0,1,2,0
157,1,1,1,0
225,3,2,1,0
182,4,17,0,1
230,0,3,2,0
134,5,3,10,1
96,1,10,1,0
682,3,13,10,1
178,3,20,3,1
171,6,14,10,1
955,6,10,8,1
756,3,28,9,1
261,1,2,2,0
260,2,2,0,0
251,1,1,0,0
892,6,8,6,1
459,1,0,2,0
252,10,17,9,1
951,3,16,1,1
71,1,24,9,1
391,2,2,6,0
39,0,3,1,0
114,4,2,1,0
197,2,10,4,1
184,2,3,1,0
940,2,9,2,1
277,2,8,1,0
515,7,29,2,1
589,2,3,10,1
49,0,8,1,0
637,3,30,1,1
37,0,2,1,0
250,2,8,1,0
23,0,1,6,0
205,1,0,2,0
54,4,3,1,0
68,2,3,2,0
105,7,21,3,1
198,5,27,0,1
130,3,3,1,0
475,1,7,7,1
579,9,17,7,1
893,2,12,9,1
491,0,2,1,0
351,1,0,0,0
174,4,14,8,1
127,2,30,4,1
395,0,0,3,0
182,1,1,1,0
816,0,28,10,1
208,7,15,10,1
161,6,16,4,1
640,2,29,7,1
247,2,4,5,0
130,2,11,3,1
841,9,1,1,1
282,4,26,6,1
745,2,5,7,1
88,1,5,1,0
149,3,30,2,1
100,1,0,1,0
159,2,6,8,1
80,2,3,0,0
180,9,3,10,1
653,9,30,9,1
257,0,2,2,0
216,0,2,2,0
247,0,2,5,0
163,1,1,3,0
94,1,2,0,0
91,0,3,0,0
39,0,0,1,0
231,1,3,4,0
123,4,2,2,0
37,1,2,2,0
506,10,9,10,1
737,2,22,1,1
280,2,2,2,0
109,2,5,2,1
649,7,11,0,1
641,1,8,7,1
242,1,2,1,0
